ID,experimental_replicate,media,condition,repeat, spores  upper square 1,spores upper square 2,spores upper square  3,spores upper square  4,spores  lower square 1,spores lower square 2,spores lower square  3,spores lower square  4
42,1,PDA,light,1,6,6,3,1,2,10,3,7
42,1,PDA,light,2,5,24,27,23,26,22,14,36
42,1,PDA,light,3,2,2,4,6,0,1,0,3
42,1,PDA,light,4,21,20,18,19,8,13,17,15
775,1,PDA,light,1,7,7,14,5,15,7,26,2
775,1,PDA,light,2,0,0,0,0,0,0,0,0
775,1,PDA,light,3,0,0,2,9,6,0,0,0
775,1,PDA,light,4,8,10,15,12,12,20,10,14
201,1,PDA,light,1,2,0,16,3,7,13,4,6
201,1,PDA,light,2,8,3,5,6,10,8,8,5
201,1,PDA,light,3,0,1,0,0,0,0,0,1
201,1,PDA,light,4,7,8,1,2,5,1,3,4
42,1,SSLB,light,1,3,0,5,6,5,1,1,1
42,1,SSLB,light,2,5,2,0,0,3,2,1,1
42,1,SSLB,light,3,12,6,13,12,8,11,15,7
42,1,SSLB,light,4,0,0,0,1,0,0,0,2
775,1,SSLB,light,1,11,7,6,7,6,1,2,3
775,1,SSLB,light,2,11,3,7,4,4,3,10,7
775,1,SSLB,light,3,,,,,,,,
775,1,SSLB,light,4,,,,,,,,
201,1,SSLB,light,1,7,3,4,4,13,0,1,2
201,1,SSLB,light,2,1,3,1,2,1,1,0,3
201,1,SSLB,light,3,0,0,0,1,0,0,0,0
201,1,SSLB,light,4,,,,,,,,
42,1,PGM,light,1,3,2,5,0,2,3,3,1
42,1,PGM,light,2,3,4,6,3,6,3,3,4
42,1,PGM,light,3,7,1,8,2,6,2,1,3
42,1,PGM,light,4,5,3,4,2,8,1,10,0
775,1,PGM,light,1,8,7,6,2,4,9,16,12
775,1,PGM,light,2,2,2,0,1,1,6,0,0
775,1,PGM,light,3,5,7,7,11,7,13,9,7
775,1,PGM,light,4,,,,,,,,
201,1,PGM,light,1,0,0,0,0,0,1,0,0
201,1,PGM,light,2,11,5,11,9,5,6,9,9
201,1,PGM,light,3,4,4,4,5,11,6,4,5
201,1,PGM,light,4,,,,,,,,
42,1,DV8,light,1,5,6,8,9,4,9,6,4
42,1,DV8,light,2,12,11,11,9,16,18,8,11
42,1,DV8,light,3,42,18,13,14,24,12,18,15
42,1,DV8,light,4,21,11,21,24,36,12,10,8
775,1,DV8,light,1,14,14,7,18,13,6,9,15
775,1,DV8,light,2,26,8,8,22,18,14,18,19
775,1,DV8,light,3,10,9,11,8,16,9,12,10
775,1,DV8,light,4,,,,,,,,
201,1,DV8,light,1,38,40,43,36,44,46,32,17
201,1,DV8,light,2,29,25,21,27,21,15,15,17
201,1,DV8,light,3,6,9,13,11,13,19,12,18
201,1,DV8,light,4,15,18,19,16,13,14,15,12
42,1,DV8_filter_paper,light,1,8,8,9,9,9,7,12,10
42,1,DV8_filter_paper,light,2,5,2,4,4,2,4,4,2
42,1,DV8_filter_paper,light,3,3,2,4,0,5,0,1,2
42,1,DV8_filter_paper,light,4,4,1,4,1,4,7,0,6
775,1,DV8_filter_paper,light,1,2,0,0,1,1,3,1,0
775,1,DV8_filter_paper,light,2,2,1,0,0,0,1,3,3
775,1,DV8_filter_paper,light,3,0,0,8,4,0,0,3,4
775,1,DV8_filter_paper,light,4,,,,,,,,
201,1,DV8_filter_paper,light,1,12,13,16,34,16,18,14,17
201,1,DV8_filter_paper,light,2,10,8,11,13,9,6,16,10
201,1,DV8_filter_paper,light,3,7,4,0,5,30,31,29,25
201,1,DV8_filter_paper,light,4,8,10,15,12,12,20,10,14
42,1,PDA,light-dark,1,13,12,10,17,7,7,8,6
42,1,PDA,light-dark,2,9,4,10,14,10,17,9,8
42,1,PDA,light-dark,3,6,6,5,7,0,7,3,6
42,1,PDA,light-dark,4,6,8,5,7,13,12,16,16
775,1,PDA,light-dark,1,1,1,3,2,0,2,2,16
775,1,PDA,light-dark,2,7,14,24,8,16,7,13,18
775,1,PDA,light-dark,3,7,2,6,11,22,16,12,9
775,1,PDA,light-dark,4,1,6,4,1,5,3,8,1
201,1,PDA,light-dark,1,1,0,0,0,0,1,1,0
201,1,PDA,light-dark,2,1,0,2,9,0,0,2,1
201,1,PDA,light-dark,3,0,1,1,0,2,0,0,0
201,1,PDA,light-dark,4,0,0,0,1,0,1,3,2
42,1,SSLB,light-dark,1,94,86,123,109,89,77,97,85
42,1,SSLB,light-dark,2,85,105,80,82,38,29,62,49
42,1,SSLB,light-dark,3,17,15,21,8,64,72,67,69
42,1,SSLB,light-dark,4,10,10,5,2,10,2,6,11
775,1,SSLB,light-dark,1,66,58,55,53,68,61,64,41
775,1,SSLB,light-dark,2,36,39,33,41,48,37,53,32
775,1,SSLB,light-dark,3,,,,,,,,
775,1,SSLB,light-dark,4,,,,,,,,
201,1,SSLB,light-dark,1,11,13,9,6,11,3,6,4
201,1,SSLB,light-dark,2,1,1,1,0,0,1,0,2
201,1,SSLB,light-dark,3,3,2,6,4,3,11,3,3
201,1,SSLB,light-dark,4,,,,,,,,
42,1,PGM,light-dark,1,46,31,44,40,36,36,37,33
42,1,PGM,light-dark,2,60,34,42,32,40,23,42,32
42,1,PGM,light-dark,3,5,1,2,0,6,3,3,2
42,1,PGM,light-dark,4,11,13,12,15,8,12,14,8
775,1,PGM,light-dark,1,0,4,2,2,16,6,9,3
775,1,PGM,light-dark,2,1,2,2,2,1,2,4,0
775,1,PGM,light-dark,3,2,1,0,1,2,0,6,3
775,1,PGM,light-dark,4,10,6,8,9,16,9,21,19
201,1,PGM,light-dark,1,1,0,0,0,0,0,0,1
201,1,PGM,light-dark,2,1,0,2,1,0,4,1,1
201,1,PGM,light-dark,3,4,2,5,3,0,0,6,2
201,1,PGM,light-dark,4,3,1,1,2,0,0,3,4
42,1,DV8,light-dark,1,14,10,17,11,16,14,15,14
42,1,DV8,light-dark,2,63,45,47,42,65,52,54,51
42,1,DV8,light-dark,3,24,28,29,36,45,25,27,35
42,1,DV8,light-dark,4,29,64,31,73,72,32,55,33
775,1,DV8,light-dark,1,10,9,7,10,6,9,11,10
775,1,DV8,light-dark,2,16,11,12,16,26,16,27,32
775,1,DV8,light-dark,3,35,19,25,12,18,28,22,19
775,1,DV8,light-dark,4,14,20,13,12,22,17,19,10
201,1,DV8,light-dark,1,16,10,15,15,20,21,17,6
201,1,DV8,light-dark,2,18,4,14,10,9,9,15,20
201,1,DV8,light-dark,3,21,15,13,14,25,23,30,5
201,1,DV8,light-dark,4,13,11,8,9,14,10,18,11
42,1,DV8_filter_paper,light-dark,1,28,14,22,30,19,26,32,11
42,1,DV8_filter_paper,light-dark,2,39,34,38,42,40,51,39,29
42,1,DV8_filter_paper,light-dark,3,70,52,53,48,82,61,78,
42,1,DV8_filter_paper,light-dark,4,33,24,27,16,25,18,29,32
775,1,DV8_filter_paper,light-dark,1,41,51,52,32,34,44,52,43
775,1,DV8_filter_paper,light-dark,2,35,25,38,39,49,36,35,42
775,1,DV8_filter_paper,light-dark,3,31,24,26,32,29,31,33,21
775,1,DV8_filter_paper,light-dark,4,26,25,27,31,22,17,28,25
201,1,DV8_filter_paper,light-dark,1,5,3,2,7,3,12,18,6
201,1,DV8_filter_paper,light-dark,2,26,20,28,23,19,13,26,26
201,1,DV8_filter_paper,light-dark,3,4,4,8,3,7,6,3,2
42,2,PDA,light,1,5,3,5,0,5,3,5,0
42,2,PDA,light,2,0,0,0,1,0,0,1,0
42,2,PDA,light,3,10,9,7,2,6,7,8,5
42,2,PDA,light,4,0,2,2,3,2,0,1,3
775,2,PDA,light,1,0,0,0,0,0,0,0,0
775,2,PDA,light,2,0,0,0,0,0,0,0,0
775,2,PDA,light,3,0,0,0,0,0,0,0,0
775,2,PDA,light,4,,,,,,,,
201,2,PDA,light,1,0,0,0,0,0,0,0,0
201,2,PDA,light,2,0,0,0,0,0,0,0,0
201,2,PDA,light,3,0,0,0,0,0,0,0,0
201,2,PDA,light,4,,,,,,,,
42,2,SSLB,light,1,1,4,4,2,5,5,2,1
42,2,SSLB,light,2,1,0,1,1,0,2,3,0
42,2,SSLB,light,3,0,1,0,0,1,0,0,0
42,2,SSLB,light,4,0,0,0,0,0,0,0,0
775,2,SSLB,light,1,3,0,1,1,0,0,1,2
775,2,SSLB,light,2,1,2,4,3,1,5,2,1
775,2,SSLB,light,3,2,4,1,3,3,2,8,2
775,2,SSLB,light,4,4,7,1,2,3,1,6,4
201,2,SSLB,light,1,4,5,5,0,4,5,3,7
201,2,SSLB,light,2,1,2,5,3,2,3,3,4
201,2,SSLB,light,3,1,1,4,2,2,6,1,1
201,2,SSLB,light,4,6,1,5,5,3,7,4,2
42,2,PGM,light,1,0,0,1,0,1,0,0,0
42,2,PGM,light,2,1,1,0,1,0,2,3,1
42,2,PGM,light,3,1,0,0,0,0,4,4,3
42,2,PGM,light,4,3,4,5,0,5,7,9,6
775,2,PGM,light,1,0,0,0,0,0,0,0,0
775,2,PGM,light,2,0,1,0,0,0,0,0,0
775,2,PGM,light,3,1,0,1,1,0,0,0,0
775,2,PGM,light,4,0,1,1,0,0,0,1,2
201,2,PGM,light,1,0,0,0,0,0,0,0,0
201,2,PGM,light,2,0,0,0,0,0,0,0,0
201,2,PGM,light,3,0,0,0,0,0,0,0,0
201,2,PGM,light,4,0,0,0,0,0,0,0,0
42,2,DV8,light,1,14,29,39,37,25,28,21,22
42,2,DV8,light,2,2,5,2,5,5,16,7,8
42,2,DV8,light,3,3,3,3,5,8,12,11,8
42,2,DV8,light,4,,,,,,,,
775,2,DV8,light,1,0,0,0,0,0,0,0,0
775,2,DV8,light,2,0,0,0,0,0,0,0,0
775,2,DV8,light,3,0,0,0,0,0,0,0,0
775,2,DV8,light,4,0,0,0,0,0,0,0,0
201,2,DV8,light,1,3,1,4,2,5,4,4,0
201,2,DV8,light,2,8,4,6,5,3,1,2,0
201,2,DV8,light,3,6,8,0,7,5,7,0,0
201,2,DV8,light,4,0,1,0,0,0,0,0,0
42,2,DV8_filter_paper,light,1,9,10,10,5,16,7,8,10
42,2,DV8_filter_paper,light,2,1,2,0,2,4,7,6,7
42,2,DV8_filter_paper,light,3,38,21,42,36,26,30,29,33
42,2,DV8_filter_paper,light,4,8,5,2,3,8,5,4,4
775,2,DV8_filter_paper,light,1,0,0,0,0,0,0,0,0
775,2,DV8_filter_paper,light,2,0,0,0,0,0,0,0,0
775,2,DV8_filter_paper,light,3,0,0,0,0,0,0,0,0
775,2,DV8_filter_paper,light,4,0,0,0,0,0,0,0,0
201,2,DV8_filter_paper,light,1,0,3,2,3,3,5,2,7
201,2,DV8_filter_paper,light,2,2,0,1,2,2,3,3,3
201,2,DV8_filter_paper,light,3,9,6,5,2,9,2,17,3
201,2,DV8_filter_paper,light,4,8,7,7,7,7,5,6,5
42,2,PDA,light-dark,1,2,1,4,4,3,7,3,6
42,2,PDA,light-dark,2,4,9,1,0,7,4,6,3
42,2,PDA,light-dark,3,0,0,0,0,0,0,0,0
42,2,PDA,light-dark,4,,,,,,,,
775,2,PDA,light-dark,1,0,1,0,0,0,0,0,1
775,2,PDA,light-dark,2,0,0,1,1,0,0,3,1
775,2,PDA,light-dark,3,0,1,0,0,3,1,0,1
775,2,PDA,light-dark,4,0,1,0,0,0,0,0,0
201,2,PDA,light-dark,1,7,1,3,0,4,0,1,0
201,2,PDA,light-dark,2,0,1,1,2,3,1,2,1
201,2,PDA,light-dark,3,1,0,2,2,1,0,1,0
201,2,PDA,light-dark,4,1,0,0,0,0,0,2,0
42,2,SSLB,light-dark,1,25,15,23,24,24,30,42,15
42,2,SSLB,light-dark,2,6,8,7,9,13,12,9,16
42,2,SSLB,light-dark,3,29,34,15,21,12,29,18,34
42,2,SSLB,light-dark,4,,,,,,,,
