ID,experimental_replicate,pathogen,substratum,condition,growth,conidia,growth
42,1,FLS,sorghum,suspension,100,100,100
42,1,FLS,sorghum,suspension,100,100,100
42,1,FLS,sorghum,suspension,100,100,100
42,1,FLS,sorghum,suspension,100,100,100
42,1,FLS,sorghum,plug,70,70,100
42,1,FLS,sorghum,plug,25,25,100
42,1,FLS,sorghum,plug,60,60,100
42,1,FLS,sorghum,plug,50,50,100
775,1,FLS,sorghum,suspension,90,90,100
775,1,FLS,sorghum,suspension,90,90,100
775,1,FLS,sorghum,suspension,100,100,100
775,1,FLS,sorghum,suspension,100,100,100
775,1,FLS,sorghum,plug,90,90,100
775,1,FLS,sorghum,plug,80,80,100
775,1,FLS,sorghum,plug,100,100,100
775,1,FLS,sorghum,plug,100,100,100
201,1,FLS,sorghum,suspension,,,
201,1,FLS,sorghum,suspension,50,50,
201,1,FLS,sorghum,suspension,40,40,
201,1,FLS,sorghum,suspension,40,40,
201,1,FLS,sorghum,plug,90,90,
201,1,FLS,sorghum,plug,95,95,
201,1,FLS,sorghum,plug,100,100,80
201,1,FLS,sorghum,plug,90,90,
24,1,SBS,sorghum,suspension,80,80,
24,1,SBS,sorghum,suspension,90,90,100
24,1,SBS,sorghum,suspension,95,95,100
24,1,SBS,sorghum,suspension,30,30,100
24,1,SBS,sorghum,plug,1,1,60
24,1,SBS,sorghum,plug,20,20,50
24,1,SBS,sorghum,plug,60,60,80
24,1,SBS,sorghum,plug,20,20,70
35,1,SBS,sorghum,suspension,100,100,100
35,1,SBS,sorghum,suspension,100,100,100
35,1,SBS,sorghum,suspension,100,100,100
35,1,SBS,sorghum,suspension,20,20,
35,1,SBS,sorghum,plug,20,20,100
35,1,SBS,sorghum,plug,30,30,100
35,1,SBS,sorghum,plug,10,10,80
35,1,SBS,sorghum,plug,,,40
46,1,SBS,sorghum,suspension,60,60,100
46,1,SBS,sorghum,suspension,50,50,80
46,1,SBS,sorghum,suspension,50,50,100
46,1,SBS,sorghum,suspension,50,50,100
46,1,SBS,sorghum,plug,40,40,100
46,1,SBS,sorghum,plug,40,40,100
46,1,SBS,sorghum,plug,30,30,60
46,1,SBS,sorghum,plug,20,20,100
42,1,FLS,millet,suspension,80,80,90
42,1,FLS,millet,suspension,80,80,100
42,1,FLS,millet,suspension,80,80,100
42,1,FLS,millet,suspension,100,100,100
42,1,FLS,millet,plug,10,10,100
42,1,FLS,millet,plug,10,10,
42,1,FLS,millet,plug,5,5,50
42,1,FLS,millet,plug,20,20,100
775,1,FLS,millet,suspension,40,40,100
775,1,FLS,millet,suspension,60,60,100
775,1,FLS,millet,suspension,80,80,100
775,1,FLS,millet,suspension,60,60,
775,1,FLS,millet,plug,50,50,100
775,1,FLS,millet,plug,70,70,100
775,1,FLS,millet,plug,80,80,90
775,1,FLS,millet,plug,70,70,100
201,1,FLS,millet,suspension,,,
201,1,FLS,millet,suspension,,,
201,1,FLS,millet,suspension,,,
201,1,FLS,millet,suspension,,,
201,1,FLS,millet,plug,,,
201,1,FLS,millet,plug,,,
201,1,FLS,millet,plug,,,
201,1,FLS,millet,plug,,,
24,1,SBS,millet,suspension,20,20,80
24,1,SBS,millet,suspension,80,80,100
24,1,SBS,millet,suspension,40,40,80
24,1,SBS,millet,suspension,10,10,90
24,1,SBS,millet,plug,1,1,30
24,1,SBS,millet,plug,1,1,50
24,1,SBS,millet,plug,1,1,20
24,1,SBS,millet,plug,5,5,50
35,1,SBS,millet,suspension,70,70,100
35,1,SBS,millet,suspension,60,60,100
35,1,SBS,millet,suspension,60,60,100
35,1,SBS,millet,suspension,50,50,100
